id,name,category,price,size,color,stock,description
1,Áo thun basic,Áo,120000,"S,M,L,XL","Trắng, Đen",45,"Áo thun cotton 100%, thoáng mát, co giãn nhẹ, phù hợp mặc hằng ngày"
2,Quần jean skinny,Quần,350000,"28,29,30,31,32",Xanh đậm,30,"Quần jean form ôm, co giãn nhẹ, chất denim dày dặn, bền màu"
3,Áo sơ mi caro,Áo,250000,"M,L,XL","Đỏ, Xanh",20,"Áo sơ mi caro nam nữ, chất vải cotton thoáng, phù hợp công sở"
4,Váy maxi hoa,Váy,420000,Free size,"Hồng, Xanh biển",15,"Váy maxi hoa nhí, chất chiffon mềm mịn, phù hợp đi chơi, du lịch"
5,Áo hoodie oversize,Áo,280000,"M,L,XL","Đen, Xám",25,"Hoodie form rộng, nỉ bông dày, giữ ấm tốt, phong cách streetwear"
6,Quần short kaki,Quần,180000,"M,L,XL","Be, Xanh rêu",40,"Quần short nam kaki, năng động, thoáng mát cho mùa hè"
7,Chân váy chữ A,Váy,230000,"S,M,L","Đen, Be",35,"Chân váy chữ A form chuẩn, tôn dáng, phối dễ với nhiều kiểu áo"
8,Áo polo nam,Áo,210000,"M,L,XL","Trắng, Navy",50,"Áo polo cổ bẻ, vải cá sấu, sang trọng và thoáng mát"
9,Quần jogger thể thao,Quần,250000,"M,L,XL","Xám, Đen",22,"Quần jogger bo gấu, vải co giãn, phù hợp tập gym hoặc mặc thường ngày"
10,Váy body cổ vuông,Váy,390000,"S,M,L","Đỏ đô, Đen",18,"Váy body ôm sát, tôn dáng, phù hợp tiệc hoặc sự kiện"
